title,description,genres,emotions,emojis
Aziza,A dynamic take on the life of Syrian refugees told through black comedy.,['drama'],"[drama, empathy, humor, compassion, hope, resilience, contemplation, irony]",🎭🌍🤣🤝🕊️💪🤔😂
MOTHER,"Shuhei is leading a tough life. His alcoholic mother Akiko can only hook up with bad guys and order Shuhei to go get money from his disapproving grandparents instead of going to school. Except raising the little half-sister, his rock-bottom life seems to have no end.",['drama'],"[sadness, empathy, frustration, hope, determination, compassion, resilience, catharsis]",😢🤝😡🙏💪🤗🌈🎭
The Seven Deadly Sins: Cursed by Light,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.","['animation', 'fantasy', 'action']","[excitement, satisfaction, nostalgia, anticipation, sadness, curiosity, determination, relief]",🎉😊😢🔍🤔💪😌🌟
Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","['documentation', 'music']","[nostalgia, inspiration, admiration, curiosity, appreciation, reflection, awe, joy]",🎸🎶🎵🎥🌟🕰️💭👏
You Get Me,"After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man.","['thriller', 'romance', 'drama', 'crime']","[suspense, intrigue, jealousy, betrayal, fear, passion, uncertainty, tension]",😱😏😠😈😨😍🤔😬
Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.","['animation', 'comedy', 'family', 'fantasy']","[fear, suspense, curiosity, humor, surprise, bravery, relief, satisfaction]",👻🏠👧🏻👦🏻🧑🏻‍🤝‍🧑🏻🔐🔑🕵️‍♂️🌟🎉
Gurgaon,"A real estate baron Kehri Singh manages 'Preet Real Estate' which he runs in his daughter's name whom he consider's to be his lucky mascot. A sidelined and insulted Nikki Singh is ignored by his father and is considered to be insolent, useless and unlucky. In order to pay off a huge debt to a local criminal, Nikki sets off a chilling event that forces his father to revisit his dark past and confront a brutal truth.","['crime', 'thriller']","[suspense, tension, surprise, remorse, anger, fear, redemption, satisfaction]",😱😬😮😢😠😨😌👍
Motichoor Chaknachoor,"A hilarious story of a 36-year-old jobless man Pushpender, trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.","['comedy', 'romance']","[humor, romance, anticipation, frustration, hope, confusion, amusement, satisfaction]",😂🥰😬😫🤞🤔😄😌
Match,two brothers whose lives are torn apart by the murder of their father. Match follows the different paths taken by the brothers after the death and the consequences that come from their actions.,['drama'],"[sadness, anger, suspense, regret, empathy, tension, forgiveness, redemption]",😢😠😱😫🤝🔥🙏🔄
Taco Chronicles,"Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.",['documentation'],"[curiosity, hunger, appreciation, nostalgia, satisfaction, discovery, craving, inspiration]",🌮🌯🌽🥑🌶️🍅🔥🍴
Feel Good,Recovering addict and comedian Mae tries to control the addictive behaviors and intense romanticism that permeate every facet of her life. Life is further complicated by a new and all-consuming relationship with her new girlfriend George.,"['drama', 'comedy', 'romance']","[humor, empathy, anticipation, vulnerability, happiness, introspection, tension, hope]",🤣😢😬😍🧠🔥🤞🎉
Stand by Me Doraemon,"In the suburbs of Tokyo some time ago, there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi, Nobita's descendant of four generations later from the 22nd century, and Doraemon, a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation, so in order to change this disastrous future, he brought along Doraemon as Nobita's caretaker to bring happiness to his future, although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy, Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?","['scifi', 'fantasy', 'drama', 'family', 'animation', 'comedy']","[nostalgia, humor, friendship, hope, warmth, anticipation, empathy, joy]",🤖👦🏻🐱💫🎉🕰️😄
So My Grandma's a Lesbian!,A promising young lawyer sees her plans to wed into an important and ultraconservative family in danger when her grandma decides to marry her girl friend.,"['comedy', 'romance', 'european']","[laughter, surprise, acceptance, joy, love, pride, empathy, liberation]",🤣😱🌈💞👵👩‍❤️‍💋‍👩🎉💖🗝️
We the Animals,"Manny, Joel and Jonah tear their way through childhood and push against the volatile love of their parents. As Manny and Joel grow into versions of their father and Ma dreams of escape, Jonah, the youngest, embraces an imagined world all his own.",['drama'],"[nostalgia, empathy, tension, hope, confusion, resilience, love, melancholy]",🌟👨‍👦🌈🏃‍♂️🚪🌌🌺🌧️
Mohenjo Daro,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.","['action', 'drama', 'history', 'romance']","['adventure', 'excitement', 'heroism', 'wonder', 'hope', 'fear', 'love', 'justice']",🏰🌾🌄🌟👨‍🌾👊🌹🔥
The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"['western', 'action', 'european']","[courage, suspense, thrill, determination, amusement, anticipation, satisfaction, triumph]",🤠💰🔫🇲🇽💪🏼🚁💥💃🏻
Masameer County,"A humorous view of a changing Saudi Arabia, as the Masameer gang venture into a global media war, a long-standing tribal feud, and a health craze gone too far.",[],"[humor, curiosity, surprise, amusement, cultural appreciation, satire, camaraderie, reflection]",😂🤔😮😄🌍🤣👥💭
Octonauts: The Ring of Fire,"In this film's adventure, a volcano erupts suddenly, suddenly awakening the Pacific Ocean floor of hundreds of volcanoes composed of the ""ring of fire"", this sudden event quickly turned into a global catastrophe.  The volcanic clusters that are about to erupt en masse threaten the horned whales washed ashore by the tsunami, the cap penguins living in the volcanic islands, the equipment of the small column maintenance station, the food planted by plant fish in the marine farms... Not to mention the plants and animals that live in the crater all year after year!",['animation'],"[adventure, excitement, danger, suspense, empathy, bravery, curiosity, relief]",🌋🌊🐋🐧🔥🌍🌱🐠
Love (ft. Marriage and Divorce),"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.","['drama', 'romance']","[drama, romance, suspense, intrigue, empathy, shock, sadness, hope]",💔💍📻👩‍👩‍👧‍👧💼✉️🤯🥺🤞
Creator's File: GOLD,"Comedian Ryuji Akiyama satirizes top ""creators"" in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.","['drama', 'comedy']","[humor, amusement, surprise, satire, enjoyment, curiosity, appreciation, laughter]",🤣😂😄😮😅😊😆😃
Heroine,A female superstar struggles through the trials and tribulations of being a Bollywood actress.,['drama'],"[inspiration, empowerment, empathy, determination, anticipation, triumph, vulnerability, resilience]",👩‍🎤🌟🎭🎬🌟🎥🌟👸
The Devil All the Time,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.","['crime', 'drama', 'thriller', 'horror']","[fear, suspense, tension, unease, grief, anger, hope, strength]",😱😬😨😔😡🙏💪🔥
This Lady Called Life,"Becoming a chef is Aiye’s greatest desire. But. She is a young, struggling, single mother who has been abandoned by her family. To settle for defeat, or to fight against all odds to become the chef of her dreams? That is the question.",['drama'],"[hope, determination, resilience, struggle, empowerment, inspiration, empathy, triumph]",🌱🔥🍽️👩‍🍳👩‍👧💪✨❤️
See You Yesterday,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.","['scifi', 'thriller', 'action', 'crime', 'drama']","[intrigue, suspense, empathy, frustration, hope, anger, reflection, empowerment]",⏳🔫🔁🚓🕒🎢🔍🤔
The War Next-door,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.",['comedy'],"[laughter, rivalry, chaos, surprise, amusement, frustration, satisfaction, empathy]",😂🤼🌪️😲😄😠😌😢
Mindhunter,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,"['drama', 'crime', 'thriller']","[suspense, curiosity, fear, intrigue, shock, unease, fascination, tension]",👁️‍🗨️🕵️‍♂️🔍🔪🔦👤🚔🌃
David and the Elves,"Christmas is drawing near, but it’s not a happy time for David. After moving to a big city, his parents have been bogged down with work and forgotten the meaning of Christmas. David decides to change that. Together with Albert the Elf, who escaped from the land of Santa to figure out what Christmas is all about, David sets off to Tatra Mountains, where his grandparents live, on a journey full of adventures.","['fantasy', 'comedy', 'family']","joy, nostalgia, anticipation, love, determination, hope, laughter, warmth",🎅🎄🏔️🚶‍♂️🧝‍♂️🧚‍♂️🌟🎁
I Am Not an Easy Man,"The chauvinist Damien wakes up in a world where women and men have their roles reversed in society, and everything is dominated by women.","['fantasy', 'comedy', 'european']","[confusion, amusement, curiosity, reflection, empowerment, frustration, irony, surprise]",🤔😄🧐💪🙃😤😂😮
We Can Be Heroes,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.","['fantasy', 'drama', 'family', 'action', 'comedy']","[hope, courage, teamwork, suspense, nostalgia, amusement, exhilaration, unity]",🌍🌟🦸‍♀️🌟👦🌟👧🌟🛸🌟🔥🌟🔑
The Great Heist,"Based on the 1994 robbery of US$33 million from Colombia's central bank, which turned the country upside down.","['crime', 'drama', 'thriller']","[suspense, tension, anticipation, intrigue, shock, empathy, exhilaration, satisfaction]",💰🔐🏦🚁💣🌪️💥🔫
Puppy Star Christmas,"The Pup Star family just got bigger! And the new pups: Cindy, Rosie, Charlie, and Brody will have to learn the true meaning of Christmas. When Pup Star’s mean team, scheme to ruin Christmas, the pups end up in the North Pole to save Santa and the holiday spirit. Their adventure is filled with great pup-tastic songs to spread holiday cheer all year round.","['family', 'comedy']","[joy, laughter, warmth, cheerfulness, nostalgia, excitement, love, hope]",🐶🎄🎅✨🎵🌟❄️🎁
Terrorism Close Calls,"The war on terror is everywhere and anywhere. In this series, we learn about the deadly terrorist attacks that almost happened or were not as deadly as planned. Each episodes explores a recently declassified terrorist scheme intended to cause mass casualties.",['documentation'],"[fear, suspense, shock, relief, curiosity, anger, gratitude, concern]",😱🤯😅🧐😡🙏😟
122,"During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.","['horror', 'thriller']","[fear, suspense, desperation, survival, tension, anxiety, adrenaline, relief]",🩸🔪🏃‍♂️💔🏥🔥🚁🌅
Marseille,The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.,"['drama', 'european']","[tension, betrayal, power struggle, suspense, loyalty, ambition, corruption, rivalry]",🏙️🔥🔪🤝💥🗝️🔱🤼
The Umbrella Academy,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","['comedy', 'drama', 'fantasy', 'scifi', 'action']","[nostalgia, suspense, teamwork, family, intrigue, mystery, action, redemption]",🌂👨‍👩‍👧‍👦💥🌍🔮🔥🕵️🔒
Romeo Akbar Walter,"Prior to the India-Pakistan war of 1971, the RAW (Research and Analysis Wing) trains an Indian banker in espionage and martial arts, and sends him to Pakistan for an undercover operation where he finds himself sinking between emotions and violence.","['thriller', 'action', 'drama']","[suspense, tension, patriotism, intrigue, fear, empathy, anticipation, uncertainty]",🕵️‍♂️🔥🇮🇳🇵🇰😨😢🔎🤔
The Uncanny Counter,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.","['drama', 'thriller', 'action', 'fantasy', 'horror']","[suspense, excitement, fear, empowerment, surprise, curiosity, satisfaction, camaraderie]",🔮🍜👹🔥👥💪👀👊
Echcharikkai,"Two men kidnap the daughter of a rich man, and the latter approaches a retired cop to track the missing woman.","['thriller', 'horror', 'crime', 'drama']","[suspense, fear, tension, curiosity, anticipation, relief, satisfaction, empathy]",😱🔍💰🚓💔👥💡🔓
The Great Hack,"Data—arguably the world’s most valuable asset—is being weaponized to wage cultural and political wars. The dark world of data exploitation is uncovered through the unpredictable, personal journeys of players on different sides of the explosive Cambridge Analytica/Facebook data story.","['documentation', 'history']","[shock, anger, intrigue, disbelief, fear, concern, empowerment, determination]",🕵️‍♀️📱🔍🌐🔒📊💣🗳
Animal World,"Drifting aimlessly through life, Kaisi has racked up debts of several million having borrowed money from his friends. Lured with the promise of writing it all off, Kaisi leaves his ailing mother and childhood sweetheart Qing to board the ship Destiny and attend a gambling party controlled by the mysterious Anderson. All players join the game with stars. For each game they lose, their opponent captures a star. Everyone is holding daggers behind their backs plotting dirty means by which to overcome their opponents. The game quickly deteriorates into a slaughter and Kaisi must battle save his own skin.","['thriller', 'fantasy', 'drama', 'action', 'scifi', 'comedy']","[suspense, fear, anticipation, thrill, confusion, determination, relief, surprise]",🎲💸🔪🔫🧠🩸💥🛡️
The Who Was? Show,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,"['family', 'comedy']","[laughter, amusement, curiosity, nostalgia, joy, entertainment, education, inspiration]",🤣🎭📖🤩🎉🎬📚🌟
Squared Love,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,"['comedy', 'romance']","[romance, humor, curiosity, surprise, anticipation, happiness, warmth, satisfaction]",😄🤔😮😃🔍😊🔥😌
The 9th Precinct,An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.,"['crime', 'fantasy', 'thriller', 'drama', 'action']","[suspense, intrigue, curiosity, fear, bravery, supernatural, tension, mystery]",👮‍♂️🌌👻👊🌟🔮🕵️‍♂️🔪
Inspector Gadget,"When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation.","['action', 'scifi', 'animation', 'comedy', 'family']","[nostalgia, humor, anticipation, curiosity, nostalgia, excitement, silliness, adventure]",🕵️‍♂️🔍🦾👧🐶🔥🤪🏃‍♂️
Johnny Hallyday: Beyond Rock,Johnny Hallyday in his own words. This intimate docuseries explores the life and career of France's rock icon through archival film and interviews.,"['documentation', 'music']","[nostalgia, inspiration, admiration, reflection, joy, fascination, appreciation, pride]",🎸🇫🇷🎥✨
The Disappearance of Madeleine McCann,"The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family.","['crime', 'documentation']","[sadness, fear, intrigue, sympathy, frustration, confusion, hope, shock]",😢😨🔍😔😠😕🙏😱
First They Killed My Father,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,"['war', 'drama', 'history']","[fear, sadness, empathy, resilience, hope, shock, anger, determination]",😨😢🤝🏼🕊️🤯😡💪🏼🇰🇭
Serial Killer with Piers Morgan,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.","['documentation', 'crime']","[fear, curiosity, unease, fascination, shock, disgust, disbelief, intrigue]",👀😱🔪🕵️‍♀️🔎💀🤯🤔📺
Monster Island,"Young Lucas finds out he's not really a human after he surprisingly transforms into a monster in front of the most popular kids at school. His search for Monster Island and his real roots takes him on a fabulously scary journey that puts him face to face with more tentacles, fangs and far-out situations than he can shake one of his new wings at.","['comedy', 'animation', 'action', 'family', 'fantasy']","[surprise, humor, curiosity, bravery, acceptance, friendship, empowerment, joy]",🧟‍♂️🔍🌟🦖🌊👻👫🎉
The Beauty Queen of Jerusalem,"The loves, heartbreak, jealousy and pain of the three Armoza sisters – Luna, Rachelika, and Becky - their parents, grandparents and children, set during the early-mid 20th century in Jerusalem.",['drama'],"[love, heartbreak, jealousy, pain, nostalgia, hope, resilience, forgiveness]",💔🌺👑🌙❤️🌳🌸🌟
Yoo Byung Jae: Too Much Information,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture.",['comedy'],"[laughter, nostalgia, curiosity, amusement, surprise, relatability, entertainment, satisfaction]",😂🌟🔍🤔😄😲😊👍
Lies and Deceit,A literature teacher suspects that a well-respected surgeon has drugged her and begins a legal case against him.,['thriller'],"[suspense, fear, intrigue, disbelief, anger, justice, empowerment, satisfaction]",🕵️‍♀️💊👩‍⚖️🔍🩺😱😡⚖️
Kaminey,"Two brothers, as different as chalk and cheese, find their lives intertwined when one puts himself in danger via a `get rich quick' scheme and the other finds there is a price on his head.","['crime', 'drama', 'action', 'thriller']","[suspense, tension, conflict, surprise, loyalty, fear, adrenaline, redemption]",🚶‍♂️💰🔫🔥👥💥💔🧠
Arashi's Diary: Voyage,"Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.","['documentation', 'music']","[nostalgia, inspiration, appreciation, joy, anticipation, pride, gratitude, excitement]",🎉🌟🎵👨‍👨‍👦‍👦🌈🎁📸🚀
A Champion Heart,"A troubled girl finds faith, hope, and healing through a relationship with a wounded horse.",['family'],"[hope, healing, empathy, inspiration, joy, determination, forgiveness, redemption]",🏇❤️🙏🌈🌟🌻🏆🌟🐴
SAINT SEIYA: Knights of the Zodiac,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.","['animation', 'action', 'scifi', 'fantasy']","[excitement, anticipation, courage, intrigue, suspense, nostalgia, determination, loyalty]",🌟🗡️🔥🔮🌌👑🔱🖤
Father Soldier Son,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.","['war', 'documentation']","['love', 'grief', 'hope', 'courage', 'sadness', 'pride', 'reflection', 'resilience']",❤️😢🌟🦅🥺🏆💭💪
Peepli Live,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.","['drama', 'comedy']","[satire, empathy, humor, tension, irony, skepticism, frustration, hopelessness]",🌾🔍🎥📺📰💰👥🏞️
Tremors: Shrieker Island,"Graboids are illegally taken to a new island resort by a rich playboy as a dangerous form of trophy hunting, and Burt Gummer steps up to save the day.","['action', 'horror']","[thrill, suspense, fear, excitement, determination, relief, satisfaction, amusement]",🐉🌴🔫🏝️🚁🦖⚔️🎉
Uriyadi 2,A young man struggles for justice for the victims who are affected by the chemical plant leakage which lead to many deaths in the village.,"['action', 'thriller']","[anger, suspense, empathy, determination, hope, justice, sadness, empowerment]",🤬🔎🤝🌟📢🏛️😢💪
The Most Hated Woman in America,"The true story of Madalyn Murray O'Hair -- iconoclast, opportunist, and outspoken atheist -- from her controversial rise to her untimely demise.","['drama', 'history']","[controversy, intrigue, empathy, anger, curiosity, shock, resilience, reflection]",🔥🤔😠😮💪🙇🔍✊
Sun of the Soil,"In 14th-century Mali, an ambitious young royal named Mansa Musa ascended the throne of the richest kingdom in human history. This follows Malian artist Abdou Ouologuem on a journey to discover the truth behind the legendary African king.",[],"[curiosity, awe, inspiration, pride, discovery, fascination, admiration, enlightenment]",🌍👑🗺️🎨🔍🚀🌟📚
Prayers for the Stolen,Life in a town at war seen through the eyes of three young girls on the path to adolescence.,['drama'],"['fear', 'hope', 'compassion', 'resilience', 'tension', 'sadness', 'determination', 'curiosity']",🌸🔒🔫👧👀🌺💔🚁
Vizontele,The story takes place in a small town (called Hakkari) in Turkey at the beginning of the 70's. The time has come to bring technology into that small town. The first Television (or called Visiontele by the citizens) arrives and the chaos begins.,"['comedy', 'drama']","[humor, nostalgia, curiosity, frustration, joy, surprise, empathy, satisfaction]",📺🤣😊🤔😡😂😮😌
Mukhsin,"A twelve-year-old Malaysian boy's friendship with a sharp-tongued, assertive little girl moves awkwardly and wistfully into first love in this gently comic prequel to Yasmin Ahmad's ""Sepet"" and ""Gubra.""","['comedy', 'drama', 'family']","[nostalgia, innocence, curiosity, awkwardness, wistfulness, compassion, joy, empathy]",🌸🌈👦💑🌙🌼🎉🤗
Dinotrux,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs.","['action', 'comedy', 'family', 'animation']","[excitement, laughter, wonder, friendship, nostalgia, bravery, curiosity, joy]",🦖🚧🚚🤣🌟🔥👀🎉
Christmas Crossfire,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.","['thriller', 'comedy', 'crime']","[suspense, humor, intrigue, excitement, curiosity, fear, relief, romance]",🎄🔫🏃‍♂️🚁💑💥🔪🔍
Dabbe 5: Curse of the Jinn,"Dilek, a housewife suddenly starts to feel presence of something abnormal in a specific room in their house. Though her husband, Omer refuses to agree with her but situation become worse. They find out that, an ancient paranormal creature called Jinn, has cursed on Dilek. They seek for a way to cure her but instead they find out some shocking event of Dilek's early life.",['horror'],"[fear, suspense, curiosity, shock, intrigue, unease, apprehension, mystery]",😨🔮👻🏚️🕵️‍♀️🧩🔍🔐
The Edge of Seventeen,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.","['drama', 'comedy']","[humor, nostalgia, empathy, tension, awkwardness, frustration, happiness, growth]",😂😔😬😳🙄😡😊🌱
Dhh,"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies.","['drama', 'family']","[hope, anticipation, amusement, determination, surprise, joy, friendship, inspiration]",🎩✨📚🎉🤝🌟🎯🔮
Anbe Sivam,Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.,"['comedy', 'drama']","[laughter, empathy, inspiration, hope, friendship, reflection, warmth, sorrow]",🤣😢🤝🌟🚶‍♂️🌈🌌💔
The Body Remembers When the World Broke Open,"When Áila encounters a young Indigenous woman, barefoot and crying in the rain on the side of a busy street, she soon discovers that this young woman, Rosie, has just escaped a violent assault at the hands of her boyfriend. Áila decides to bring Rosie home with her and over the course of the evening, the two navigate the aftermath of this traumatic event.","['drama', 'european']","[empathy, compassion, fear, hope, resilience, empowerment, healing, solidarity]",😢🤝🌧️🏠🚶‍♀️💔💪🌈
Angry Birds Toons,"Angry Birds Toons tells how life is not always easy on Piggie Island. Red and angry feathered companions, Chuck, Mathilda, Bomb, Blues and Terence must come together to protect their eggs - and future - of cunning plots of Bad Piggies. Having only guides for their intelligence and determination, they absolutely must thwart the advanced technology Piggies are also incredibly too many. Nevertheless, they have a huge advantage ... the incredible stupidity of the Piggies! Angry Birds Toon gives life to characters and adventures of one of the most popular games in history and presents the amusing world, and cunning of Birds and their sworn enemies, the Piggies.","['comedy', 'family', 'fantasy', 'animation', 'action', 'european']","[humor, determination, mischief, suspense, satisfaction, surprise, camaraderie, triumph]",🤣😠🐦🐷🥚🔥🚀🤪
Voiceless,"The Hausa feature film is a story of love and the power of dreams in the midst of the violence and terrorism in Nigeria's northeast and is based on eyewitness account. It follows the story of a bright, promising girl, Salma who was held captive by a daring terrorist group along with 245 of her schoolmates. Despite her seemingly hopeless reality, she refuses to give up on her huge dreams. The struggle to regain freedom and realize her dreams leads to unfathomable pains and deaths.",['thriller'],"[hope, fear, resilience, despair, determination, grief, anger, inspiration]",🌟🔒🔥🎓💔💀🌍💪🌈
Counterpunch,"As boxing's popularity wanes, three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions.","['documentation', 'sport']","[determination, passion, perseverance, hope, excitement, suspense, adrenaline, inspiration]",🥊🏆🌟👊🔥🎥🌠💪
How to Be Really Bad,"The life of 14-year-old Lilith is similar to that of a normal teenager, but there is a peculiarity: she is the daughter of the devil and lives with him in hell. Because she is totally bored there and also wants to have fun and explore the world, she makes a pact with her father: she is allowed to go to earth for a week - but she has to convert a good person to evil there. If she succeeds in this challenge, she may stay on earth forever, otherwise she'll be waving a hell of a boring job in the bookkeeping of the underworld.","['comedy', 'fantasy', 'romance', 'family', 'european']","[amusement, curiosity, mischief, empathy, anticipation, joy, surprise, satisfaction]",😈🌍👿📚🔥😂👼💃
Haters Back Off,"Delve into the oddball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise, who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.","['comedy', 'drama', 'family', 'romance']","[laughter, cringe, empathy, amusement, frustration, hope, embarrassment, surprise]",🤣😬🤝😄😠🤞😳😮
Selection Day,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,"['drama', 'comedy', 'sport']","[determination, pressure, conflict, resilience, identity, hope, humor, triumph]",🏏👨‍👦‍👦🏆📚🔥😂🙌🏻💪🏻
Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.","['drama', 'action', 'crime', 'thriller', 'western']","[tension, fear, determination, nostalgia, suspense, sadness, relief, satisfaction]",🤯🔥🔍🌵🚁🔪💔👊
"Chatô, The King of Brazil","The true story of Assis Chateaubriand, the first magnate of communications in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called 'the Brazilian Citizen Kane'.","['drama', 'comedy', 'history']","[intrigue, ambition, power, nostalgia, humor, awe, tragedy, reflection]",🎭📺🌟🎥🇧🇷👑🗞️💔
Silver Skates,"1899, the Christmas-time St.Petersburg. Ice-covered rivers and canals of the capital seethe with festive activities. On the eve of the new century those who should not be destined to meet, come together. They are people from different worlds: Matvey, the son of a lamplighter, whose only treasure is his silver-plated skates; Alice is the daughter of a high-ranking official dreaming of science. Each of them has his own difficult life-story, but having accidentally met they rush forward together in pursuit of their dreams.","['history', 'romance', 'action', 'drama', 'family']","[hope, joy, determination, love, nostalgia, wonder, inspiration, perseverance]",⛸️❄️🎄🌟🕰️🌌🌠💫
F3: Fun and Frustration,"Venky and Varun Yadav are ordinary guys with ordinary lives. Their struggle is all about money. One day they hear about a wealthy industrialist in Vijayanagaram who is looking for his heir. What happens when Venky, Varun and the gang arrive at his doorsteps pretending to be his heir.","['comedy', 'romance', 'family']","[humor, anticipation, amusement, surprise, confusion, joy, satisfaction, warmth]",🤣😱😄😅😕😂😌🥰
Friends with Money,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.","['comedy', 'drama', 'romance']","[uncertainty, introspection, empathy, humor, envy, resignation, hope, satisfaction]",😕🤔🤷‍♀️😄😒😌🤞🙌
Errementari: The Blacksmith and the Devil,"Basque Country, Spain, 1843. A police constable arrives at a small village in Álava to investigate a mysterious blacksmith who lives alone deep in the woods.","['drama', 'fantasy', 'horror', 'thriller', 'european']","[suspense, fear, curiosity, intrigue, tension, mystery, fascination, unease]",🔥🔨👹🕵️‍♂️🌳🏘️🇪🇸💀
Christmas in the Heartland,"Kara and Jessie are two teenage girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.",['family'],"[warm, festive, heartwarming, joyful, hopeful, nostalgic, relatable, uplifting]",🎄❤️🎁🌟🎅🌟🤗🎉
"Sí, Mi Amor",A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating. Based on the successful stan-up comedy show of the same name.,['romance'],"[betrayal, confusion, determination, humor, redemption, romance, surprise, satisfaction]",🙅‍♂️💔🕵️‍♂️🤔😄🔁💑😲
Always Be My Maybe,"Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds.","['romance', 'comedy']","[nostalgia, hope, amusement, joy, anticipation, love, empathy, laughter]",🎵🍽️💑🎸💔😂🥰🌟
